Category	Item	Qty for 5 students	Status	Weeks used	Options to pick from	Notes
Core machines	Instructor MacBook Pro (teaching machine)	1	ON HAND	All	 	Needs Thonny, VS Code, Python, Git, Wireshark, and optionally Docker
Core machines	Student laptops	5	CONFIRM	All	Used MacBook vs refurbished Windows 11 Pro (8-16GB RAM, SSD, WSL2-capable)	Keep at least one Windows machine or the two-OS comparison in Week 17 has nothing to compare
Core machines	Spare MacBook as always-on class server	1	ON HAND	21, 23, 25, 26, 29	 	Needs Remote Login (SSH) enabled and the seeded classbook.git repo in place before Week 21
Core machines	Raspberry Pi with power supply and microSD	1	ON HAND	9, 10	 	CanaKit approx 2023 per curriculum Section 7
Core machines	Monitor or TV, HDMI cable, USB keyboard, USB mouse for the Pi	1 set	CONFIRM	9	Reuse a classroom TV vs buy a dedicated monitor	Not in the curriculum on-hand list but Week 9 needs the Pi booted and running before class
Core machines	Apple IIe with dot matrix printer and floppies	1	ON HAND	1, 4	 	Week 1 needs it sitting at the BASIC prompt; test the 10 PRINT / 20 GOTO program during prep
Core machines	Old desktop PC for teardown	1	ON HAND	8	 	Loosen the case screws in advance if they are stiff
Core machines	Projector or large shared screen	1	CONFIRM	Nearly all	 	Week 24 needs VS Code and a browser visible side by side; Week 32 needs every student machine to connect
Core machines	Whiteboard and dry erase markers	1	CONFIRM	All	 	Week 21 needs enough space to keep three diagrams up at once
Electronics W6	Solderless breadboard	3	ACQUIRE	6	Buy as part of a starter kit vs individual components	One per pair. This is the gap you spotted. Everything in this block is Week 6 only
Electronics W6	Male-to-male jumper wires	1 assortment pack	ACQUIRE	6		
Electronics W6	5mm LEDs assorted	20	ACQUIRE	6		
Electronics W6	220 ohm resistors	20	ACQUIRE	6	 	Sits in series with the LED
Electronics W6	470 ohm resistors	20	ACQUIRE	6	 	Used as the pull-up in the NOT gate. Specifically corrected in a prior review so do not substitute
Electronics W6	1k ohm resistors	20	ACQUIRE	6		
Electronics W6	Switches	8	ACQUIRE	6	Tactile momentary pushbutton vs slide latching	Two per pair. Slide switches hold their state which makes truth tables easier; tactile need holding down
Electronics W6	NPN transistors	10	ACQUIRE	6	2N2222 vs BC547	Guide names both as acceptable. Two per pair plus spares
Electronics W6	Breadboard power	3	ACQUIRE	6	3xAA battery holder approx 4.5V vs USB 5V breakout	Hard safety limit in the guide: nothing above 6V, no wall adapters, no mains voltage
Electronics W6	AA batteries	9	ACQUIRE	6	 	Only needed if you choose battery holders over USB breakouts
Electronics W6	Basic digital multimeter	1	ACQUIRE	6	 	Front-of-room demonstration only, not per pair
Hardware lab W8-10	Dead or spare motherboard	1	ACQUIRE	8, 9	 	Often free from a computer repair shop. Used for locating CPU socket, RAM slots, PCIe, SATA, M.2, BIOS chip
Hardware lab W8-10	Phillips screwdriver	3	ACQUIRE	8, 10	 	One per pair
Hardware lab W8-10	Small parts tray or muffin tin	2	ACQUIRE	8	 	For screws during teardown
Hardware lab W8-10	Antistatic wrist strap	2	ACQUIRE	8	 	Needs a metal point in the room to clip to
Hardware lab W8-10	Spare SSD	1	ACQUIRE	8		
Hardware lab W8-10	Mechanical hard drive with the lid removed	1	ACQUIRE	8	 	The guide calls the opened platter drive the single best prop of the day. A dead drive is fine and is what you want
Hardware lab W8-10	USB to SATA adapter	1	ACQUIRE	8	 	For showing a bare drive mount on a laptop
Hardware lab W8-10	Old discrete graphics card	1	OPTIONAL	8	 	For comparison against integrated graphics. Any age
Hardware lab W8-10	Cheap membrane keyboard that can be opened	1	ACQUIRE	10	 	Sacrificial. Opened in class to find the switch matrix
Hardware lab W8-10	Mechanical keyboard with a removable keycap	1	OPTIONAL	10	 	Better than membrane if you have one, per the guide
Hardware lab W8-10	USB flash drives for recovery images	6	ACQUIRE	Setup	 	One per laptop. One doubles as the Week 25 offline fallback drive
Hardware lab W8-10	Arduino starter kit	1	OPTIONAL	Extra credit	 	Hardware extra-credit track only, not a scheduled week
Networking W19-21	USB-C to Gigabit Ethernet adapter	5	ACQUIRE - PRIORITY	19, 20, 21	 	Called out in bold in Week 19. Modern MacBooks have no Ethernet port. Without these the wired lab degrades to two machines and everyone else on Wi-Fi
Networking W19-21	Cat5e or Cat6 patch cables	8	CONFIRM	19, 20, 21, 28	 	Every machine plus two spares. Count them during prep, not in class
Networking W19-21	Power strip	1	ACQUIRE	19, 20, 21	 	For the switch and the router
Networking W19-21	Gigabit switch	1	ON HAND	19, 20, 21, 28		
Networking W19-21	Wi-Fi router	1	ON HAND	19, 20, 21, 28	 	Week 28 needs admin page access from the demo machine
Display	USB-C to HDMI adapter for the projector	5	ACQUIRE	24, 32	 	Week 32 says adapters laid out and labeled, tested with every machine that presents. Buy to match your student laptop ports
Week 28 security	Brass brad pins	10	ACQUIRE	28	 	One per student for the cipher wheels, plus spares
Week 28 security	Key exchange materials in three colors	1 set	ACQUIRE	28	Translucent plastic chips vs food coloring with clear cups vs stackable colored paper squares	Guide names all three as workable. Pick one
Week 28 security	Manila folders as privacy screens	2	ACQUIRE	28		
Week 28 security	Two-color cards for the parity activity	40	ACQUIRE	28	Playing cards used face up and face down vs printed black and white cards	Guide notes playing cards work perfectly and cost nothing
Week 29	Composition notebooks or clipboards	3	ACQUIRE	29	Notebooks vs clipboards	Labeled Node A, Node B, Node C for the Three Notebooks activity
Consumables	Masking or painter's tape	3 rolls	ACQUIRE	3, 11, 12, 14, 15, 19	 	Floor mazes in several weeks, the Week 14 sorting network, and cable labeling in Week 19
Consumables	Index cards 3x5	500	ACQUIRE	Many	 	Used in twelve or more weeks. Week 10 needs 12 labeled, Week 19 needs about 20 plus one per student, Week 22 needs about 20 per team
Consumables	Sticky note pads	5	ACQUIRE	13, 21, 23	 	Week 21 needs about 30, Week 23 about 10 per student
Consumables	Markers for cards and posters	1 pack	ACQUIRE	2, 14, 21, 29	 	Separate from whiteboard markers
Consumables	Paper plates	10	ACQUIRE	13	Paper plates vs a spring-loaded tray dispenser	Guide says plates work fine
Consumables	Number cards	1 set	ACQUIRE	14	Playing cards vs index cards hand-numbered 1 to 20	Guide prefers numbered cards because the ordering is unambiguous
Consumables	Blindfold	1	OPTIONAL	3, 11	Blindfold vs scarf vs paper bag	Optional round in both weeks
Consumables	Plain copy paper	1 ream	CONFIRM	Many	 	Week 11 Round 2 needs a full sheet per team, Week 29 needs six pre-ruled sheets, plus all printing
Consumables	Bread, peanut butter, plate, knife	1 set	ACQUIRE FRESH	1 or 3	Peanut butter vs jam or sunflower butter	Robot Chef energizer. Check for nut allergies first
Consumables	Something to eat on the last day	1	OPTIONAL	32	 	Guide marks this optional and recommended
Printing	Weekly homework handouts	5 per week x 32	RECURRING	All	Print at home vs a print shop run	Roughly 160 handouts minimum across the year
Printing	Unit checkpoints	5 x 4	RECURRING	5, 10, 16, 26	 	Plus the mid-year trace assessment and the Unit 4 concept check, both in Week 21
Printing	One-page reference and activity sheets	5 x approx 15 weeks	RECURRING	2, 14, 15, 17, 19, 20, 23, 24, 25, 27, 30, 31, 32	 	Includes the Week 17 double-sided command card, the Week 15 error-type poster, and the Week 23 Git cheat sheet
Printing	Cipher wheels	10 circles	RECURRING	28	 	Two paper circles per student, about 10cm and 8cm, alphabet pre-printed evenly. Guide warns hand-marking 26 divisions eats fifteen minutes of class
Printing	Binary dot cards, pixel grids, ASCII table	1 set	RECURRING	2	Printed from the linked source vs hand-drawn on index cards	Guide says hand-drawn works just as well. Also needs one oversized set for the front of the room
Software	Thonny	free	INSTALL	1 to 21		
Software	VS Code	free	INSTALL	22 to 32		
Software	Python 3	free	INSTALL	All		
Software	Git	free	INSTALL	23 onward		
Software	Wireshark	free	INSTALL IN ADVANCE	20	 	Capture permissions cannot be granted during class. Verify on every machine beforehand
Software	Google Chrome	free	INSTALL	24, 26	 	Week 26 specifically requires Chrome; its Application panel is the clearest for the PWA lab
Software	Firefox	free	INSTALL	24	 	For the two-browser comparison
Software	Docker Desktop	free	OPTIONAL	29	Run the container demo vs teach it from the board	Guide says the segment works either way
Software	nandgame.com	free	NO ACCOUNT	7	 	Browser only. Preload the tabs if the connection is unreliable
Software	Turing Complete	paid	OPTIONAL	7	Buy for one lab machine vs skip and use nandgame only	Guide estimates roughly 20 dollars on Steam. Verify current price
Accounts	NextDNS subscription	paid	ACQUIRE	28 plus the parent monitoring layer	Free tier vs paid plan	Verify current plan limits. Week 28 needs the dashboard logged in on the demo machine
Accounts	LLM API key	paid per use	ACQUIRE	27	Which provider	Stays in an environment variable on the instructor machine only
Accounts	GitHub accounts, one per student	free	SET UP	22, 23	 	Confirm working the week before Week 23, not on the day
Accounts	CodeAI account, formerly Code.org	free	SET UP	AP track	 	Free alternative to Project STEM
Accounts	Project STEM enrollment	paid	DECISION	AP track, opt-in only	Project STEM as the audit spine vs CodeAI free alternative	Only needed for students who opt in to the AP track
Make, do not buy	Two placeholder PNG icons, 192x192 and 512x512	2	MAKE	26	 	Guide says explicitly not to spend class time making icons
Make, do not buy	Offline fallback files on a USB drive	1	MAKE	25	 	One saved API response as JSON and one saved CSV, so the session survives a network or API failure
Make, do not buy	Quiet corner or second room for video recording	1	ARRANGE	31	 	Students recording audio in the same room as everyone else does not work
